"Scientific Name","Common Name","Where Listed","Region  ","ESA Listing Status  ","Group"
"Numenius tenuirostris","Slender-billed curlew","Wherever found","Foreign","Endangered","Birds"
"Columba palumbus azorica","Azores wood pigeon","Wherever found","Foreign","Endangered","Birds"
"Odocoileus hemionus cerrosensis","Cedros Island mule Deer","Wherever found","Foreign","Endangered","Mammals"
"Pteronura brasiliensis","Giant otter","South America","Foreign","Endangered","Mammals"
"Himantopus novaezelandiae","Black Stilt","Wherever found","Foreign","Endangered","Birds"
"Amazona vinacea","Vinaceous-breasted parrot","Wherever found","Foreign","Endangered","Birds"
"Cyrtonyx montezumae merriami","Merriam's Montezuma quail","Wherever found","Foreign","Endangered","Birds"
"Gazella dorcas massaesyla","Moroccan gazelle","Wherever found","Foreign","Endangered","Mammals"
"Varanus griseus","Desert monitor","Wherever found","Foreign","Endangered","Reptiles"
"Papustyla pulcherrima","Manus Island tree snail","Wherever found","Foreign","Endangered","Snails"
"Craseonycteris thonglongyai","Bumblebee bat","Wherever found","Foreign","Endangered","Mammals"
"Pseudibis gigantea","Giant ibis","Wherever found","Foreign","Endangered","Birds"
"Gazella leptoceros","Slender-horned gazelle","Wherever found","Foreign","Endangered","Mammals"
"Ursus thibetanus gedrosianus","Baluchistan bear","Wherever found","Foreign","Endangered","Mammals"
"Lipotes vexillifer","Chinese River Dolphin","Wherever found","Foreign","Endangered","Mammals"
"Addax nasomaculatus","Addax","Wherever found","Foreign","Endangered","Mammals"
"Pangasianodon gigas","Thailand giant catfish","Wherever found","Foreign","Endangered","Fishes"
"Cercocebus galeritus galeritus","Tana River mangabey","Wherever found","Foreign","Endangered","Mammals"
"Platysteira laticincta","Banded wattle-eye","Wherever found","Foreign","Endangered","Birds"
"Vipera latifii","Lar Valley viper","Wherever found","Foreign","Endangered","Reptiles"
"Rhinopithecus avunculus","Tonkin snub-nosed monkey","Wherever found","Foreign","Endangered","Mammals"
"Equus zebra hartmannae","Hartmann's mountain zebra","Wherever found","Foreign","Threatened","Mammals"
"Dugong dugon","Dugong","Wherever found","Foreign","Endangered","Mammals"
"Geochelone nigra (=elephantopus)","Galapagos tortoise","Wherever found","Foreign","Endangered","Reptiles"
"Phaenicophaeus pyrrhocephalus","Red-faced malkoha (cuckoo)","Wherever found","Foreign","Endangered","Birds"
"Panthalops hodgsonii","Tibetan antelope","Wherever found","Foreign","Endangered","Mammals"
"Babyrousa babyrussa","Babirusa","Wherever found","Foreign","Endangered","Mammals"
"Bubalus mindorensis","Tamaraw","Wherever found","Foreign","Endangered","Mammals"
"Leucopsar rothschildi","Rothschild's starling (myna)","Wherever found","Foreign","Endangered","Birds"
"Oryx dammah","Scimitar-horned oryx","Wherever found","Foreign","Endangered","Mammals"
"Chondrohierax uncinatus wilsonii","Cuba hook-billed kite","Wherever found","Foreign","Endangered","Birds"
"Bebrornis sechellensis","Seychelles warbler (old world warbler)","Wherever found","Foreign","Endangered","Birds"
"Crocodylus cataphractus","African slender-snouted crocodile","Wherever found","Foreign","Endangered","Reptiles"
"Ovis vignei vignei","Shapo","Wherever found","Foreign","Endangered","Mammals"
"Hyaena hyaena barbara","Barbary hyena","Wherever found","Foreign","Endangered","Mammals"
"Grus japonensis","Japanese Crane","Wherever found","Foreign","Endangered","Birds"
"Aonyx congicus (=congica) microdon","Cameroon clawless otter","Wherever found","Foreign","Endangered","Mammals"
"Notomys aquilo","Australian native mouse","Wherever found","Foreign","Endangered","Mammals"
"Bos javanicus","Banteng","Wherever found","Foreign","Endangered","Mammals"
"Uratelornis chimaera","Long-tailed ground roller","Wherever found","Foreign","Endangered","Birds"
"Leptasthenura xenothorax","White-browed tit-spinetail","Wherever found","Foreign","Endangered","Birds"
"Grus canadensis nesiotes","Cuba sandhill crane","Wherever found","Foreign","Endangered","Birds"
"Loxodonta africana","African elephant","Wherever found","Foreign","Threatened","Mammals"
"Antechinus apicalis","Dibbler","Wherever found","Foreign","Endangered","Mammals"
"Felis margarita scheffeli","Pakistan sand cat","Wherever found","Foreign","Endangered","Mammals"
"Trachypithecus (=Presbytis) geei","Golden langur","Wherever found","Foreign","Endangered","Mammals"
"Bubalus depressicornis","Lowland anoa","Wherever found","Foreign","Endangered","Mammals"
"Foudia sechellarum","Seychelles fody (weaver-finch)","Wherever found","Foreign","Endangered","Birds"
"Cnemidophorus vanzoi","Maria Island ground lizard","Wherever found","Foreign","Endangered","Reptiles"
"Atrichornis clamosus","Noisy scrub-bird","Wherever found","Foreign","Endangered","Birds"
"Bettongia tropica","Queensland rat-kangaroo","Wherever found","Foreign","Endangered","Mammals"
"Psittacula echo","Mauritius parakeet","Wherever found","Foreign","Endangered","Birds"
"Phaethornis malaris margarettae","Margaretta's hermit","Wherever found","Foreign","Endangered","Birds"
"Larus relictus","Relict gull","Wherever found","Foreign","Endangered","Birds"
"Avahi laniger (entire genus)","Avahi","Wherever found","Foreign","Endangered","Mammals"
"Rhinopithecus brelichi","Guizhou snub-nosed monkey","Wherever found","Foreign","Endangered","Mammals"
"Cacajao spp.","Uakari (all species)","Wherever found","Foreign","Endangered","Mammals"
"Pitta kochi","Koch's pitta","Wherever found","Foreign","Endangered","Birds"
"Tetrao urogallus cantabricus","Cantabrian capercaillie","Wherever found","Foreign","Endangered","Birds"
"Cyanoramphus cookii (=novaezelandiae c.)","Norfolk Island parakeet","Wherever found","Foreign","Endangered","Birds"
"Presbytis senex","Purple-faced langur","Wherever found","Foreign","Threatened","Mammals"
"Neophema chrysogaster","Orange-bellied parakeet","Wherever found","Foreign","Endangered","Birds"
"Ramphocinclus brachyurus","White-breasted thrasher","Wherever found","Foreign","Endangered","Birds"
"Equus grevyi","Grevy's zebra","Wherever found","Foreign","Threatened","Mammals"
"Procolobus (=Colobus) pennantii (=kirki) kirki","Zanzibar red colobus monkey","Wherever found","Foreign","Endangered","Mammals"
"Tinamus solitarius","Solitary tinamou","Wherever found","Foreign","Endangered","Birds"
"Saguinus leucopus","White-footed tamarin","Wherever found","Foreign","Threatened","Mammals"
"Dasyurus viverrinus","Eastern native-cat","Wherever found","Foreign","Endangered","Mammals"
"Pedionomus torquatus","Plains wanderer (=collared-hemipode)","Wherever found","Foreign","Endangered","Birds"
"Equus africanus","African wild ass","Wherever found","Foreign","Endangered","Mammals"
"Conraua goliath","Goliath Frog","Wherever found","Foreign","Threatened","Amphibians"
"Pharomachrus mocinno ssp. mocinno","Resplendent quetzel","Wherever found","Foreign","Endangered","Birds"
"Cyclura cychlura cychlura","Andros Island ground iguana","Wherever found","Foreign","Threatened","Reptiles"
"Cinclocerthia ruficauda gutturalis","Martinique trembler (thrasher)","Wherever found","Foreign","Endangered","Birds"
"Gazella subgutturosa marica","Sand gazelle","Wherever found","Foreign","Endangered","Mammals"
"Xenopirostris damii","Van Dam's vanga","Wherever found","Foreign","Threatened","Birds"
"Diceros bicornis","Black rhinoceros","Africa","Foreign","Endangered","Mammals"
"Theropithecus gelada","Gelada baboon","Wherever found","Foreign","Threatened","Mammals"
"Rhinopithecus bieti","Yunnan snub-nosed monkey","Wherever found","Foreign","Endangered","Mammals"
"Mimus graysoni","Socorro mockingbird","Wherever found","Foreign","Endangered","Birds"
"Carduelis cucullata","Red siskin","Wherever found","Foreign","Endangered","Birds"
"Pseudomys novaehollandiae","New Holland mouse","Wherever found","Foreign","Endangered","Mammals"
"Vicugna vicugna","Vicuna","Ecuador (DPS)","Foreign","Endangered","Mammals"
"Grus vipio","White-naped Crane","Wherever found","Foreign","Endangered","Birds"
"Cervus nippon keramae","Ryukyu sika deer","Wherever found","Foreign","Endangered","Mammals"
"Phytotoma raimondii","Peruvian plantcutter","Wherever found","Foreign","Endangered","Birds"
"Parides hahneli","Hahnel's Amazonian swallowtail butterfly","Wherever found","Foreign","Endangered","Insects"
"Huso huso","Beluga sturgeon","Wherever found","Foreign","Threatened","Fishes"
"Terrapene coahuila","Aquatic box turtle","Wherever found","Foreign","Endangered","Reptiles"
"Daubentonia madagascariensis","Aye-aye","Wherever found","Foreign","Endangered","Mammals"
"Podocnemis unifilis","Tracaja","Wherever found","Foreign","Endangered","Reptiles"
"Tarsius syrichta","Philippine tarsier","Wherever found","Foreign","Threatened","Mammals"
"Ramphodon (=Glaucis) dohrnii","Hook-billed hermit (hummingbird)","Wherever found","Foreign","Endangered","Birds"
"Tapirus pinchaque","Mountain tapir","Wherever found","Foreign","Endangered","Mammals"
"Jatropha costaricensis","Costa Rican jatropha","Wherever found","Foreign","Endangered","Flowering Plants"
"Chinchilla chinchilla boliviana","Bolivian short-tailed chinchilla","Wherever found","Foreign","Endangered","Mammals"
"Canis simensis","Simien fox","Wherever found","Foreign","Endangered","Mammals"
"Cyclura rileyi nuchalis","Acklins ground iguana","Wherever found","Foreign","Threatened","Reptiles"
"Alauda razae","Raso lark","Wherever found","Foreign","Endangered","Birds"
"Crax alberti","Blue-billed curassow","Wherever found","Foreign","Endangered","Birds"
"Crocodylus rhombifer","Cuban crocodile","Wherever found","Foreign","Endangered","Reptiles"
"Alouatta pigra","Black howler monkey","Wherever found","Foreign","Threatened","Mammals"
"Cervus nippon mandarinus","North China sika deer","Wherever found","Foreign","Endangered","Mammals"
"Rhinopithecus roxellana","Sichuan snub-nosed monkey","Wherever found","Foreign","Endangered","Mammals"
"Psophodes nigrogularis","Western whipbird","Wherever found","Foreign","Endangered","Birds"
"Oryx leucoryx","Arabian oryx","Wherever found","Foreign","Endangered","Mammals"
"Kachuga tecta tecta","Indian sawback turtle","Wherever found","Foreign","Endangered","Reptiles"
"Brachylophus fasciatus","Fiji banded iguana","Wherever found","Foreign","Endangered","Reptiles"
"Cyanoramphus auriceps forbesi","Forbes' parakeet","Wherever found","Foreign","Endangered","Birds"
"Batagur baska","River terrapin","Wherever found","Foreign","Endangered","Reptiles"
"Trionyx gangeticus","Indian softshell turtle","Wherever found","Foreign","Endangered","Reptiles"
"Rhynochetos jubatus","Kagu","Wherever found","Foreign","Endangered","Birds"
"Caloprymnus campestris","Desert (=plain) rat-kangaroo","Wherever found","Foreign","Endangered","Mammals"
"Podilymbus gigas","Atitlan grebe","Wherever found","Foreign","Endangered","Birds"
"Zosterops albogularis","Norfolk Island white-eye","Wherever found","Foreign","Endangered","Birds"
"Pardofelis (=Felis) marmorata","Marbled cat","Wherever found","Foreign","Endangered","Mammals"
"Strigops habroptilus","Kakapo","Wherever found","Foreign","Endangered","Birds"
"Vultur gryphus","Andean condor","Wherever found","Foreign","Endangered","Birds"
"Alcelaphus buselaphus tora","Tora hartebeest","Wherever found","Foreign","Endangered","Mammals"
"Troglodytes aedon mesoleucus","St. Lucia house wren","Wherever found","Foreign","Endangered","Birds"
"Tanakia tanago","Miyako tango (=Toyko bitterling)","Wherever found","Foreign","Endangered","Fishes"
"Tringa guttifer","Nordmann's greenshank","Wherever found","Foreign","Endangered","Birds"
"Elephas maximus","Asian elephant","Wherever found","Foreign","Endangered","Mammals"
"Coracopsis nigra barklyi","Seychelles lesser vasa parrot","Wherever found","Foreign","Endangered","Birds"
"Hylobates spp. (including Nomascus)","Gibbons","Wherever found","Foreign","Endangered","Mammals"
"Otus rutilus capnodes","Anjouan scops owl","Wherever found","Foreign","Endangered","Birds"
"Epicrates subflavus","Jamaican boa","Wherever found","Foreign","Endangered","Reptiles"
"Uncia (=Panthera) uncia","Snow leopard","Wherever found","Foreign","Endangered","Mammals"
